,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,iso2Code,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,WB
190.0,OWID_KOS,Kosovo,Europe,,Europe and Central Asia,Europe and Northern America,OWID_KOS,,,,,,,,,,
191.0,OWID_KRU,United Korea,Asia,,,,OWID_KRU,,,,,,,,,,
192.0,OWID_MEC,Mecklenburg Schwerin,Europe,,,,OWID_MEC,,,,,,,,,,
193.0,OWID_MOD,Modena,Europe,,,,OWID_MOD,,,,,,,,,,
194.0,OWID_NAG,Nagorno-Karabakh,Asia,,,,OWID_NAG,,,,,,,,,,
195.0,OWID_PMA,Parma,Europe,,,,OWID_PMA,,,,,,,,,,
196.0,OWID_RVN,Republic of Vietnam,Asia,,,,OWID_RVN,,,,,,,,,,
197.0,OWID_SAX,Saxony,Europe,,,,OWID_SAX,,,,,,,,,,
198.0,OWID_SEK,Serbia excluding Kosovo,Europe,,,,OWID_SEK,,,,,,,,,,
199.0,OWID_SIC,Two Sicilies,Europe,,,,OWID_SIC,,,,,,,,,,
200.0,OWID_SML,Somaliland,Africa,,,,OWID_SML,,,,,,,,,,
201.0,OWID_SOS,South Ossetia,Asia,,,,OWID_SOS,,,,,,,,,,
202.0,OWID_SRM,Serbia and Montenegro,Europe,,,,OWID_SRM,,,,,,,,,,
203.0,OWID_TRS,Transnistria,Europe,,,,OWID_TRS,,,,,,,,,,
204.0,OWID_TUS,Tuscany,Europe,,,,OWID_TUS,,,,,,,,,,
205.0,OWID_USS,USSR,Europe,,,,OWID_USS,,,,,,,,,,
206.0,OWID_WRL,World,,,,,OWID_WRL,,,,,,,,,,
207.0,OWID_WRT,Wuerttemburg,Europe,,,,OWID_WRT,,,,,,,,,,
208.0,OWID_YAR,Yemen Arab Republic,Asia,,,,OWID_YAR,,,,,,,,,,
209.0,OWID_YGS,Yugoslavia,Europe,,,,OWID_YGS,,,,,,,,,,
210.0,OWID_YPR,Yemen People's Republic,Asia,,,,OWID_YPR,,,,,,,,,,
211.0,OWID_ZAN,Zanzibar,Africa,,,,OWID_ZAN,,,,,,,,,,
212.0,PAK,Pakistan,Asia,Eastern Mediterranean,South Asia,Central and Southern Asia,PAK,PK,Pakistan,South Asia,South Asia,Lower middle income,Blend,Islamabad,72.8,30.5167,PAK
213.0,PAN,Panama,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,PAN,PA,Panama,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Panama City,-79.5188,8.99427,PAN
214.0,PCN,Pitcairn,Oceania,,,Oceania,PCN,,,,,,,,,,
